Latitude,Longitude,Title,Description,Timestamp,T1,T2,T3,T4,T5,T6,T7,T8
50.93563574,19.11273915,Znacznik 1,,3/25/2022 7:11,4,5.6,5.7,6.5,6.1,5.4,3.5,6.5
50.93571033,19.11272474,Znacznik 2,,3/25/2022 7:16,3,5.6,5.7,6.5,6.2,5.5,2.9,6.6
50.93579146,19.11271434,Znacznik 3,,3/25/2022 7:20,4,5.6,5.5,8.1,5.8,4.8,,8.5
50.93587048,19.11273949,Znacznik 4,Lo,3/25/2022 7:29,2.9,5.6,5.8,6.6,6.3,6,,6.5
50.93593957,19.11275558,Znacznik 5,,3/25/2022 7:33,3.9,5.6,5.7,6.9,6.1,6,5.6,6.6
50.93598014,19.11275122,Znacznik 6,,3/25/2022 7:36,4.1,5.7,5.7,8.2,6.1,6,5.5,6.5
50.93603423,19.11274854,Znacznik 7,,3/25/2022 7:38,3.9,5.6,5.5,6.3,5.7,5.8,5.2,6.3
50.93610142,19.11277737,Znacznik 8,,3/25/2022 7:41,2.9,5.6,5.7,6.3,6,6,5.3,6.3
50.93619333,19.11286321,Znacznik 9,,3/25/2022 7:43,5.4,5.7,5.8,6.5,6.1,6.2,5.2,6.5
50.9362527,19.11289237,Znacznik 10,,3/25/2022 7:45,4.5,5.6,5.6,6.4,6,5.9,5.4,6.4
50.93632073,19.11296982,Znacznik 11,,3/25/2022 7:47,2.9,5.7,5.8,6.5,6.2,6.3,5.2,6.5
50.93636975,19.11299162,Znacznik 12,,3/25/2022 7:51,4.8,5.7,5.8,6.4,6.2,5.7,5.3,6.3
50.93647582,19.11302011,Znacznik 13,,3/25/2022 7:53,4.7,5.6,5.7,6.3,6.1,5.9,5.4,6.2
50.93652378,19.11305599,Znacznik 14,,3/25/2022 7:56,4.5,5.7,5.7,6.4,6,6.1,5.1,6.4
50.93661991,19.11307845,Znacznik 15,,3/25/2022 7:59,4.7,5.9,6,7.1,6.6,5.8,5.6,7.1
50.93666724,19.11308181,Znacznik 16,,3/25/2022 8:02,5,5.7,5.6,6.8,6.1,6.1,5.2,6.8
50.93677774,19.11311969,Znacznik 17,,3/25/2022 8:04,5,5.6,5.3,6.1,5.7,5.3,4.4,6.3
50.93683225,19.11314584,Znacznik 18,,3/25/2022 8:08,4.8,5.9,5.7,7.1,6.6,6.5,5.4,7.2
50.93692311,19.11321122,Znacznik 19,,3/25/2022 8:11,5.3,5.8,5.4,6.7,6.1,6.4,6,6.7
50.93700973,19.11320888,Znacznik 20,,3/25/2022 8:14,5,6.1,5.7,6.7,6.5,6.6,6,6.6
50.93705516,19.11327928,Znacznik 21,,3/25/2022 8:17,5.1,5.6,5.2,6.3,5.9,5.8,5.2,6.3
50.93710988,19.11331549,Znacznik 22,,3/25/2022 8:21,4.9,5.8,5.6,6.7,6.2,6.3,5.7,6.6
50.93717559,19.1133859,Znacznik 23,,3/25/2022 8:24,5.1,5.7,5.4,6.3,6.1,6.4,5.5,6.3
50.93723285,19.11347073,Znacznik 24,,3/25/2022 8:26,5,5.8,5.6,6.5,6.2,6.4,5.8,6.5
50.93728905,19.1135351,Znacznik 25,,3/25/2022 8:29,5.1,5.8,5.6,6.7,6.3,6.5,6.3,6.7
50.93733975,19.11359277,Znacznik 26,,3/25/2022 8:31,5.1,5.8,5.5,6.7,6.2,6.2,5.4,6.5
50.93737292,19.1136729,Znacznik 27,,3/25/2022 8:34,4.4,5.8,5.6,6.6,6.3,6.5,5.7,6.6
50.93739786,19.11373727,Znacznik 28,,3/25/2022 8:36,4.3,5.9,5.6,6.7,6.3,6.3,5.5,6.5
50.93743673,19.11380265,Znacznik 29,,3/25/2022 8:39,4.5,5.8,5.6,6.5,6.3,5.7,5.6,6.5
